collection,file,record_id,issue
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000001.xml,0000001-1,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000001.xml,0000001-2,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000001.xml,0000001-3,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000001.xml,0000001-6,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000001.xml,0000001-7,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000002.xml,0000002-1,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000003.xml,0000003-1,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000003.xml,0000003-8,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-1,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-2,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-3,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-4,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-5,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-6,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-7,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-8,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-9,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000004.xml,0000004-10,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000005.xml,0000005-1,empty_answer
10_MPlus_ADAM_QA,10_MPlus_ADAM_QA/0000005.xml,0000005-2,empty_answer
5_NIDDK_QA,5_NIDDK_QA/0000056.xml,0000056,document_without_qapairs
5_NIDDK_QA,5_NIDDK_QA/0000064.xml,0000064,document_without_qapairs
5_NIDDK_QA,5_NIDDK_QA/0000065.xml,0000065,document_without_qapairs
5_NIDDK_QA,5_NIDDK_QA/0000077.xml,0000077,document_without_qapairs
5_NIDDK_QA,5_NIDDK_QA/0000175.xml,0000175,document_without_qapairs
5_NIDDK_QA,5_NIDDK_QA/0000177.xml,0000177,document_without_qapairs
6_NINDS_QA,6_NINDS_QA/0000007.xml,,missing_document_id
6_NINDS_QA,6_NINDS_QA/0000007.xml,,missing_source
6_NINDS_QA,6_NINDS_QA/0000007.xml,,missing_focus
6_NINDS_QA,6_NINDS_QA/0000007.xml,,document_without_qapairs
6_NINDS_QA,6_NINDS_QA/0000018.xml,,missing_document_id
6_NINDS_QA,6_NINDS_QA/0000018.xml,,missing_source
6_NINDS_QA,6_NINDS_QA/0000018.xml,,missing_focus
6_NINDS_QA,6_NINDS_QA/0000018.xml,,document_without_qapairs
6_NINDS_QA,6_NINDS_QA/0000182.xml,,missing_document_id
6_NINDS_QA,6_NINDS_QA/0000182.xml,,missing_source
6_NINDS_QA,6_NINDS_QA/0000182.xml,,missing_focus
6_NINDS_QA,6_NINDS_QA/0000182.xml,,document_without_qapairs
6_NINDS_QA,6_NINDS_QA/0000244.xml,,missing_document_id
6_NINDS_QA,6_NINDS_QA/0000244.xml,,missing_source
6_NINDS_QA,6_NINDS_QA/0000244.xml,,missing_focus
6_NINDS_QA,6_NINDS_QA/0000244.xml,,document_without_qapairs
9_CDC_QA,9_CDC_QA/0000199.xml,0000199,missing_focus
9_CDC_QA,9_CDC_QA/0000397.xml,,missing_document_id
9_CDC_QA,9_CDC_QA/0000423.xml,0000423,missing_focus
9_CDC_QA,9_CDC_QA/0000424.xml,0000424,missing_focus
