collection,tag,count
10_MPlus_ADAM_QA,Answer,17348
10_MPlus_ADAM_QA,CUI,3295
10_MPlus_ADAM_QA,CUIs,2588
10_MPlus_ADAM_QA,Category,4366
10_MPlus_ADAM_QA,Document,4366
10_MPlus_ADAM_QA,Focus,4366
10_MPlus_ADAM_QA,FocusAnnotations,4366
10_MPlus_ADAM_QA,QAPair,17348
10_MPlus_ADAM_QA,QAPairs,4366
10_MPlus_ADAM_QA,Question,17348
10_MPlus_ADAM_QA,SemanticGroup,2588
10_MPlus_ADAM_QA,SemanticType,2982
10_MPlus_ADAM_QA,SemanticTypes,2588
10_MPlus_ADAM_QA,Synonym,9083
10_MPlus_ADAM_QA,Synonyms,3182
10_MPlus_ADAM_QA,UMLS,2588
11_MPlusDrugs_QA,Answer,12889
11_MPlusDrugs_QA,Category,1312
11_MPlusDrugs_QA,Document,1312
11_MPlusDrugs_QA,Focus,1312
11_MPlusDrugs_QA,FocusAnnotations,1312
11_MPlusDrugs_QA,QAPair,12889
11_MPlusDrugs_QA,QAPairs,1312
11_MPlusDrugs_QA,Question,12889
12_MPlusHerbsSupplements_QA,Answer,792
12_MPlusHerbsSupplements_QA,Category,99
12_MPlusHerbsSupplements_QA,Document,99
12_MPlusHerbsSupplements_QA,Focus,99
12_MPlusHerbsSupplements_QA,FocusAnnotations,99
12_MPlusHerbsSupplements_QA,QAPair,792
12_MPlusHerbsSupplements_QA,QAPairs,99
12_MPlusHerbsSupplements_QA,Question,792
1_CancerGov_QA,Answer,729
1_CancerGov_QA,CUI,184
1_CancerGov_QA,CUIs,116
1_CancerGov_QA,Document,116
1_CancerGov_QA,Focus,116
1_CancerGov_QA,FocusAnnotations,116
1_CancerGov_QA,QAPair,729
1_CancerGov_QA,QAPairs,116
1_CancerGov_QA,Question,729
1_CancerGov_QA,SemanticGroup,116
1_CancerGov_QA,SemanticType,120
1_CancerGov_QA,SemanticTypes,116
1_CancerGov_QA,UMLS,116
2_GARD_QA,Answer,5394
2_GARD_QA,CUI,3923
2_GARD_QA,CUIs,2685
2_GARD_QA,Document,2685
2_GARD_QA,Focus,2685
2_GARD_QA,FocusAnnotations,2685
2_GARD_QA,QAPair,5394
2_GARD_QA,QAPairs,2685
2_GARD_QA,Question,5394
2_GARD_QA,SemanticGroup,2685
2_GARD_QA,SemanticType,3496
2_GARD_QA,SemanticTypes,2685
2_GARD_QA,Synonym,7907
2_GARD_QA,Synonyms,2455
2_GARD_QA,UMLS,2685
3_GHR_QA,Answer,5430
3_GHR_QA,CUI,1529
3_GHR_QA,CUIs,1086
3_GHR_QA,Document,1086
3_GHR_QA,Focus,1086
3_GHR_QA,FocusAnnotations,1086
3_GHR_QA,QAPair,5430
3_GHR_QA,QAPairs,1086
3_GHR_QA,Question,5430
3_GHR_QA,SemanticGroup,1086
3_GHR_QA,SemanticType,1401
3_GHR_QA,SemanticTypes,1086
3_GHR_QA,Synonym,5059
3_GHR_QA,Synonyms,1085
3_GHR_QA,UMLS,1086
4_MPlus_Health_Topics_QA,Answer,981
4_MPlus_Health_Topics_QA,CUI,902
4_MPlus_Health_Topics_QA,CUIs,686
4_MPlus_Health_Topics_QA,Category,981
4_MPlus_Health_Topics_QA,Document,981
4_MPlus_Health_Topics_QA,Focus,981
4_MPlus_Health_Topics_QA,FocusAnnotations,981
4_MPlus_Health_Topics_QA,QAPair,981
4_MPlus_Health_Topics_QA,QAPairs,981
4_MPlus_Health_Topics_QA,Question,981
4_MPlus_Health_Topics_QA,SemanticGroup,686
4_MPlus_Health_Topics_QA,SemanticType,787
4_MPlus_Health_Topics_QA,SemanticTypes,686
4_MPlus_Health_Topics_QA,Synonym,816
4_MPlus_Health_Topics_QA,Synonyms,462
4_MPlus_Health_Topics_QA,UMLS,686
5_NIDDK_QA,Answer,1192
5_NIDDK_QA,CUI,255
5_NIDDK_QA,CUIs,157
5_NIDDK_QA,Document,157
5_NIDDK_QA,Focus,157
5_NIDDK_QA,FocusAnnotations,157
5_NIDDK_QA,QAPair,1192
5_NIDDK_QA,QAPairs,157
5_NIDDK_QA,Question,1192
5_NIDDK_QA,SemanticGroup,157
5_NIDDK_QA,SemanticType,190
5_NIDDK_QA,SemanticTypes,157
5_NIDDK_QA,UMLS,157
6_NINDS_QA,Answer,1088
6_NINDS_QA,CUI,346
6_NINDS_QA,CUIs,273
6_NINDS_QA,Document,273
6_NINDS_QA,Focus,273
6_NINDS_QA,FocusAnnotations,273
6_NINDS_QA,QAPair,1088
6_NINDS_QA,QAPairs,273
6_NINDS_QA,Question,1088
6_NINDS_QA,SemanticGroup,273
6_NINDS_QA,SemanticType,321
6_NINDS_QA,SemanticTypes,273
6_NINDS_QA,UMLS,273
6_NINDS_QA,answer,16
6_NINDS_QA,cui,4
6_NINDS_QA,doc,4
6_NINDS_QA,doctitle-focus,4
6_NINDS_QA,pair,16
6_NINDS_QA,qaPairs,4
6_NINDS_QA,question,16
6_NINDS_QA,semanticGroup,4
6_NINDS_QA,semanticType,4
6_NINDS_QA,umls,4
7_SeniorHealth_QA,Answer,769
7_SeniorHealth_QA,CUI,70
7_SeniorHealth_QA,CUIs,48
7_SeniorHealth_QA,Document,48
7_SeniorHealth_QA,Focus,48
7_SeniorHealth_QA,FocusAnnotations,48
7_SeniorHealth_QA,QAPair,769
7_SeniorHealth_QA,QAPairs,48
7_SeniorHealth_QA,Question,769
7_SeniorHealth_QA,SemanticGroup,48
7_SeniorHealth_QA,SemanticType,54
7_SeniorHealth_QA,SemanticTypes,48
7_SeniorHealth_QA,UMLS,48
8_NHLBI_QA_XML,Answer,559
8_NHLBI_QA_XML,CUI,116
8_NHLBI_QA_XML,CUIs,88
8_NHLBI_QA_XML,Document,88
8_NHLBI_QA_XML,Focus,88
8_NHLBI_QA_XML,FocusAnnotations,88
8_NHLBI_QA_XML,QAPair,559
8_NHLBI_QA_XML,QAPairs,88
8_NHLBI_QA_XML,Question,559
8_NHLBI_QA_XML,SemanticGroup,88
8_NHLBI_QA_XML,SemanticType,102
8_NHLBI_QA_XML,SemanticTypes,88
8_NHLBI_QA_XML,UMLS,88
9_CDC_QA,Answer,270
9_CDC_QA,CUI,59
9_CDC_QA,DiseaseFile,1
9_CDC_QA,Document,58
9_CDC_QA,Focus,59
9_CDC_QA,QAPair,270
9_CDC_QA,QAPairs,59
9_CDC_QA,Question,270
9_CDC_QA,SemanticGroup,59
9_CDC_QA,SemanticType,59
9_CDC_QA,UMLS,59
