collection,tag,attribute,count
10_MPlus_ADAM_QA,Document,id,4366
10_MPlus_ADAM_QA,Document,source,4366
10_MPlus_ADAM_QA,Document,url,4366
10_MPlus_ADAM_QA,QAPair,pid,17348
10_MPlus_ADAM_QA,Question,qid,17348
10_MPlus_ADAM_QA,Question,qtype,17348
11_MPlusDrugs_QA,Document,id,1312
11_MPlusDrugs_QA,Document,source,1312
11_MPlusDrugs_QA,Document,url,1312
11_MPlusDrugs_QA,QAPair,pid,12889
11_MPlusDrugs_QA,Question,qid,12889
11_MPlusDrugs_QA,Question,qtype,12889
12_MPlusHerbsSupplements_QA,Document,id,99
12_MPlusHerbsSupplements_QA,Document,source,99
12_MPlusHerbsSupplements_QA,Document,url,99
12_MPlusHerbsSupplements_QA,QAPair,pid,792
12_MPlusHerbsSupplements_QA,Question,qid,792
12_MPlusHerbsSupplements_QA,Question,qtype,792
1_CancerGov_QA,Document,id,116
1_CancerGov_QA,Document,source,116
1_CancerGov_QA,Document,url,116
1_CancerGov_QA,QAPair,pid,729
1_CancerGov_QA,Question,qid,729
1_CancerGov_QA,Question,qtype,729
2_GARD_QA,Document,id,2685
2_GARD_QA,Document,source,2685
2_GARD_QA,Document,url,2685
2_GARD_QA,QAPair,pid,5394
2_GARD_QA,Question,qid,5394
2_GARD_QA,Question,qtype,5394
3_GHR_QA,Document,id,1086
3_GHR_QA,Document,source,1086
3_GHR_QA,Document,url,1086
3_GHR_QA,QAPair,pid,5430
3_GHR_QA,Question,qid,5430
3_GHR_QA,Question,qtype,5430
4_MPlus_Health_Topics_QA,Document,id,981
4_MPlus_Health_Topics_QA,Document,source,981
4_MPlus_Health_Topics_QA,Document,url,981
4_MPlus_Health_Topics_QA,QAPair,pid,981
4_MPlus_Health_Topics_QA,Question,qid,981
4_MPlus_Health_Topics_QA,Question,qtype,981
5_NIDDK_QA,Document,id,157
5_NIDDK_QA,Document,source,157
5_NIDDK_QA,Document,url,157
5_NIDDK_QA,QAPair,pid,1192
5_NIDDK_QA,Question,qid,1192
5_NIDDK_QA,Question,qtype,1192
6_NINDS_QA,Document,id,273
6_NINDS_QA,Document,source,273
6_NINDS_QA,Document,url,273
6_NINDS_QA,QAPair,pid,1088
6_NINDS_QA,Question,qid,1088
6_NINDS_QA,Question,qtype,1088
6_NINDS_QA,doc,corpus,4
6_NINDS_QA,doc,docid,4
6_NINDS_QA,doc,url,4
6_NINDS_QA,pair,pid,16
6_NINDS_QA,question,qid,16
6_NINDS_QA,question,qtype,16
7_SeniorHealth_QA,Document,id,48
7_SeniorHealth_QA,Document,source,48
7_SeniorHealth_QA,Document,url,48
7_SeniorHealth_QA,QAPair,pid,769
7_SeniorHealth_QA,Question,qid,769
7_SeniorHealth_QA,Question,qtype,769
8_NHLBI_QA_XML,Document,id,88
8_NHLBI_QA_XML,Document,source,88
8_NHLBI_QA_XML,Document,url,88
8_NHLBI_QA_XML,QAPair,pid,559
8_NHLBI_QA_XML,Question,qid,559
8_NHLBI_QA_XML,Question,qtype,559
9_CDC_QA,DiseaseFile,fid,1
9_CDC_QA,DiseaseFile,source,1
9_CDC_QA,DiseaseFile,url,1
9_CDC_QA,Document,id,58
9_CDC_QA,Document,source,58
9_CDC_QA,Document,url,58
9_CDC_QA,QAPair,pid,270
9_CDC_QA,Question,qid,270
9_CDC_QA,Question,qtype,270
